id,name,description
"d03e85c4-fbd2-43bf-8154-ac827f0572e3","super","Developer access"
"257ff442-1668-42d9-b5ae-fbdf2d38cfe1","product:edit","Customize loan products"
"e9c972e9-4965-416f-a6cb-135efbab61d5","inquiry:action","Action inquiries"
"7a67e016-2a01-4e67-85da-d741d0f02c1a","inquiry:view","View inquiries"
"210f47b4-d3b8-49db-a6b1-9ab6e166540f","organization:edit","Customize organization settings"
"b15a1bb9-75ec-4398-96cb-744e570aa8f3","team:edit","Edit team settings"
"b2dc1fd7-bf23-4109-8d10-05c3cbfe6437","inquiry:assign_user","Assign user to inquiry"
"80ab6278-2f9f-4ba4-84a3-81bf7672636f","inquiry:edit","Edit inquiries"
"4980603a-9a8e-47e8-959a-e5d24926b9f8","security:edit","Edit security settings"
"aa806233-7a3b-459b-9204-0098eed29cc5","integration:edit","Edit integrations"
